Comment_ID	Text
z130vpja5zvvi5ozf04ccdagczaih5excis	A decade of war? R u fuking KIDDING me. How long u been in Afghanistan?  You need to look after ur own shores not destabilise other countries for ur own greedy selfish gain. Oh this guy likes action does he? Yes warriors, ex soldiers left homeless on the street begging!! I don&#39;t see one thing done for them this week. I totally agree with the radical Muslim keep them out. executive Order. Well done. I hope Abd pray America that U DO WANT PEACE. Since 1776 till today. U have been at war for 179  of them years. U think u can change? I am praying for u America. God bless. From uk.
z12aspuw4nesutkbb04cg1wgbnisyrpbokw0k	Sorry he is not going to be politically correct. We are tired of these people destroying lives. Sorry if you are peaceful law abiding Muslim gives you all the more reason to turn those people in that are extremists.  I do think however this will not be enough, and if he doesn&#39;t screen people coming from all over the Globe then it will be pointless they will go to another country and get in that way. Saudi Arabia and UAE should be on that list but the Saudis would see that as an act of War...And we should expect there will be attempted attacks on American Soil so don&#39;t think for one second everything is OK.
z13aenuiup2jzd1g404cjpagvkyevzvqjzk0k	Already done more than Obama did in 8 years.
z125ctnbaxvyc3j2a22vv5bg3qbti1cfr	Look at the stars on background. They are so symbolic.
z13zsbwhgmi1xdfes223drm44nactnw5v04	No Sharia law coming on this American soil, I have the right to bear arms!!!?😏 God bless President Trump, God bless the united States of America, protect us from these radical Islamic psycos, a religion of &quot;peace&quot; more like a religion of death and destruction, we allow Muslims to come here to America to openly practice Thier faith, mean while back in their countries Christians are being slaughtered like sheep!  this is and will always be a free nation, this has nothing to do with racism or bigotry, this is about the safety and security of our country, better to be safe than sorry.....I don&#39;t care! who feels what, call me ignorant, call me paranoid, we have to protect our country from all threats, period....who ever opposes Trump should pack Thier stuff and go with these Islamic radical pysco paths. In these Islamic countries of so called morality and &quot;peace&quot;  if a woman is raped, four males have to be witnesses for it to even be considered a crime in Thier courts, or she has to scream loud enough so someone hears that she&#39;s being brutally raped, also most times the poor lady or child, is forced to marry her rapist, so that it doesn&#39;t bring shame upon thier family!!!!???? are you kidding me??? that is repulsive and disgusting......<br />Ughhh......
z12rxnag2pegsrmwm04cczzoeouhtrwxmss0k	Go Trump!
z12oglvrfligc5hal04ccz2imzzbhxiya24	Ban all Muzzy Trash, they are the filth that will be eradicated.
z13ixr5yfme5vnfz004cgtsgmvjowlsybgk	Class!
z122tneoaxqwgztfs23bjhjbjz2rs5mxq04	Those who would give up essential liberty to purchase a little temporary safety deserve neither liberty nor safety. Ben Franklin
z12qxbng5wrec30pt04cgzlyxouyutth52c	trumpity, trumpiry SAT ON A WALL ,CAN&#39;T WAIT UNTIL  THEY ALL HAVE THE GREATEST FALL!!
